id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnTURndlByUlFREAE,The best,5 days ago,2025-02-28 17:21:31.818351,5.0,coolguy78521,0,https://www.google.com/maps/contrib/108248640721491614783/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnTURnbk51Skx3EAE,Good,5 days ago,2025-02-28 17:21:31.819834,5.0,Yamil Hurtado,0,https://www.google.com/maps/contrib/105565421685024824085/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnTURnbk5PUDNRRRAB,Excellent pizza in NEW YORK and service,5 days ago,2025-02-28 17:21:31.820172,5.0,ABEL YAMIL HURTADO MAZON,1,https://www.google.com/maps/contrib/109084635403838943723/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnTURnN0lDZlpBEAE,Ver delicious and made me full. The staff were really nice and polite. Clean place with friendly faces. 10/10 would recommend,5 days ago,2025-02-28 17:21:31.820502,5.0,انس الشغدري,21,https://www.google.com/maps/contrib/103561383041732287970/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnTURnaUltLWRBEAE,GREAT pizza and dessert!!! We can’t back twice in one day.  They are so friendly!  Plus they received an “A” rating on their inspection!🙌🏽,6 days ago,2025-02-28 17:21:31.821153,5.0,Leticia Dotson,0,https://www.google.com/maps/contrib/118084295443846297963/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnTURnOFBITVhREAE,Best food in the world l. Everybody should come to Carve Cafe,6 days ago,2025-02-28 17:21:31.821819,5.0,dean scott vazquez,1,https://www.google.com/maps/contrib/105364768136871738997/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnTUNncTQ2U05nEAE,Pizza is good but I've had better in NYC!,a week ago,2025-02-28 17:21:31.822134,4.0,Pablo Eskobar,302,https://www.google.com/maps/contrib/108224954722216706891/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnTUNncllhQ2NREAE,Pizza re warmed rather than fresh pizza.,a week ago,2025-02-28 17:21:31.822443,3.0,Glen Wakeling,1,https://www.google.com/maps/contrib/111803124242077736724/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnTUNnOXBMWW93RRAB,Great pizza and very friendly staff!,a week ago,2025-02-28 17:21:31.822750,5.0,Antonio Lopreiato,2,https://www.google.com/maps/contrib/100480574098694765990/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnTUNndHJ2Nmd3RRAB,"We were staying right down the street from here and out of the 4 days we were here we came to eat 3 times. We had a delicious breakfast. A great pizza before a Broadway show, and as a final dinner we had their Bacon burger. The vibe was good and overall their prices were the best. Affordable and delicious. Even their dessert. Highly recommend of your visiting manhattan. Very close to everything.",a week ago,2025-02-28 17:21:31.823093,5.0,Eryka Jaye,0,https://www.google.com/maps/contrib/115619948866326688928/reviews?hl=en
